Frame (60^-1s),Volume (cm^-3)
1565,187.7861
1566,187.3166
1567,187.8846
1568,188.5208
1569,187.8839
1570,195.4253
1571,195.6341
1572,194.6896
1573,194.3859
1574,193.921
1575,195.2997
1576,195.2997
1577,194.3404
1578,186.974
1579,188.9006
1580,188.5324
1581,187.4957
1582,188.9536
1583,187.1318
1584,194.8481
1585,191.1937
1586,190.4137
1587,189.6416
1588,188.4441
1589,189.6604
1590,189.3798
1591,190.4426
1592,191.4411
1593,191.0504
1594,190.8902
1595,190.6507
1596,211.817
1597,210.5802
1598,209.8036
1599,257.4184
1600,209.8016
1601,184.2172
1602,183.5137
1603,185.4328
1604,193.3604
1605,185.8634
1606,185.9086
1607,186.6157
1608,186.6157
1609,185.8665
1610,186.07
1611,186.2221
1612,186.2221
1613,186.5783
1614,193.7182
1615,193.1681
1616,184.7995
1617,176.3189
1618,193.3402
1619,193.5789
1620,381.4102
1621,193.8218
1622,195.1323
1623,194.2924
1624,194.1291
1625,194.2685
1626,193.2364
1627,192.808
1628,192.4587
1629,192.9251
1630,191.1956
1631,182.9647
1632,183.418
1633,190.8993
1634,191.1639
1635,191.7595
1636,191.0147
